mean_theta,mean_qz,mean_I,mean_theta,mean_qz,mean_I,mean_theta,mean_qz,mean_I,mean_theta,mean_qz,mean_I,mean_theta,mean_qz,mean_I,mean_theta,mean_qz,mean_I,mean_theta,mean_qz,mean_I,mean_theta,mean_qz,mean_I,mean_theta,mean_qz,mean_I,mean_theta,mean_qz,mean_I,mean_theta,mean_qz,mean_I,mean_theta,mean_qz,mean_I,mean_theta,mean_qz,mean_I,mean_theta,mean_qz,mean_I,mean_theta,mean_qz,mean_I,mean_theta,mean_qz,mean_I,mean_theta,mean_qz,mean_I,mean_theta,mean_qz,mean_I,mean_theta,mean_qz,mean_I,mean_theta,mean_qz,mean_I
-25,-0.0020826,1.28E-06,-25,-0.004337063,6.90E-07,-25,-0.006550014,4.18E-07,-25,-0.008760162,2.95E-05,-25,-0.010967676,7.07E-07,-25,-0.013172438,3.78E-07,-25,-0.015374445,4.51E-07,-25,-0.017631533,9.49E-07,-25,-0.019808736,3.90E-07,-25,-0.022002415,3.43E-07,-25,-0.024193332,3.95E-07,-25,-0.026323935,4.19E-07,-25,-0.028490233,3.30E-07,-25,-0.030711213,3.52E-07,-25,-0.03292939,4.20E-07,-25,-0.035068283,3.80E-07,-25,-0.03728074,3.55E-07,-25,-0.03949032,3.50E-07,-25,-0.041620976,3.32E-07,-25,-0.043748946,3.48E-07
-24.5,-0.002044732,1.26E-06,-24.5,-0.004239068,5.59E-07,-24.5,-0.006411683,4.70E-07,-24.5,-0.008562462,2.24E-05,-24.5,-0.01072964,7.12E-07,-24.5,-0.012894055,3.74E-07,-24.5,-0.015055704,5.14E-07,-24.5,-0.017252437,6.47E-07,-24.5,-0.019351833,3.86E-07,-24.5,-0.021505194,3.74E-07,-24.5,-0.023655781,4.47E-07,-24.5,-0.025747107,4.88E-07,-24.5,-0.027854604,3.43E-07,-24.5,-0.030015758,3.69E-07,-24.5,-0.032174148,3.74E-07,-24.5,-0.034273439,4.80E-07,-24.5,-0.036444868,3.34E-07,-24.5,-0.038594727,3.60E-07,-24.5,-0.040685774,3.22E-07,-24.5,-0.042755491,3.54E-07
-24,-0.00198797,1.25E-06,-24,-0.004141462,5.40E-07,-24,-0.006273574,5.65E-07,-24,-0.008365529,1.63E-05,-24,-0.010492206,6.43E-07,-24,-0.012578872,3.91E-07,-24,-0.014700048,5.70E-07,-24,-0.016855586,9.60E-07,-24,-0.018915524,3.41E-07,-24,-0.021009886,3.88E-07,-24,-0.023119981,4.15E-07,-24,-0.025153396,8.05E-07,-24,-0.027221115,3.31E-07,-24,-0.02932299,3.95E-07,-24,-0.031458939,3.28E-07,-24,-0.033500043,4.82E-07,-24,-0.035611906,3.47E-07,-24,-0.037720918,3.35E-07,-24,-0.039753872,3.32E-07,-24,-0.041802526,3.39E-07
-23.5,-0.001931417,1.42E-06,-23.5,-0.004062442,5.24E-07,-23.5,-0.006117364,7.28E-07,-23.5,-0.008187774,1.02E-05,-23.5,-0.010255463,5.49E-07,-23.5,-0.012302158,4.66E-07,-23.5,-0.014364544,4.45E-07,-23.5,-0.016460462,1.02E-06,-23.5,-0.018480788,3.38E-07,-23.5,-0.020534802,3.57E-07,-23.5,-0.022604359,3.29E-07,-23.5,-0.024580377,3.85E-07,-23.5,-0.026590028,3.17E-07,-23.5,-0.028651231,3.45E-07,-23.5,-0.030727825,3.22E-07,-23.5,-0.032729332,3.40E-07,-23.5,-0.034782163,3.37E-07,-23.5,-0.036850157,3.29E-07,-23.5,-0.038843661,3.10E-07,-23.5,-0.040834337,3.20E-07
-23,-0.001894159,1.48E-06,-23,-0.003947448,4.47E-07,-23,-0.005980096,7.78E-07,-23,-0.008009951,7.85E-06,-23,-0.010019241,6.15E-07,-23,-0.012025833,5.75E-07,-23,-0.014029725,4.83E-07,-23,-0.01608448,2.95E-06,-23,-0.018065063,3.30E-07,-23,-0.020060827,4.02E-07,-23,-0.022053847,3.39E-07,-23,-0.024008641,1.23E-06,-23,-0.025960818,3.61E-07,-23,-0.027981222,3.30E-07,-23,-0.029998812,3.83E-07,-23,-0.031978264,4.24E-07,-23,-0.033990326,3.28E-07,-23,-0.03599951,3.30E-07,-23,-0.037935521,3.82E-07,-23,-0.039868903,3.61E-07
-22.5,-0.001856403,1.50E-06,-22.5,-0.003868702,4.35E-07,-22.5,-0.005843091,9.22E-07,-22.5,-0.007814802,6.76E-06,-22.5,-0.009783756,5.51E-07,-22.5,-0.011714992,5.96E-07,-22.5,-0.013713696,4.26E-07,-22.5,-0.01570959,4.77E-06,-22.5,-0.017632788,3.40E-07,-22.5,-0.019588261,3.95E-07,-22.5,-0.021541045,3.41E-07,-22.5,-0.023421482,1.03E-06,-22.5,-0.025351514,3.55E-07,-22.5,-0.027313577,3.58E-07,-22.5,-0.029290191,3.88E-07,-22.5,-0.031194771,3.60E-07,-22.5,-0.033165886,3.29E-07,-22.5,-0.035134114,3.60E-07,-22.5,-0.037030597,3.44E-07,-22.5,-0.038924443,3.80E-07
-22,-0.001818507,1.65E-06,-22,-0.003772381,3.76E-07,-22,-0.005689104,9.97E-07,-22,-0.0076204,8.39E-06,-22,-0.009548967,5.24E-07,-22,-0.011440509,6.78E-07,-22,-0.013363746,3.98E-07,-22,-0.015318532,5.52E-06,-22,-0.017202054,3.61E-07,-22,-0.019117121,3.45E-07,-22,-0.021029489,3.78E-07,-22,-0.022870943,6.30E-07,-22,-0.024743889,3.37E-07,-22,-0.02668216,3.57E-07,-22,-0.028583668,3.74E-07,-22,-0.030448557,4.99E-07,-22,-0.032378513,3.11E-07,-22,-0.034271816,3.64E-07,-22,-0.036128628,3.29E-07,-22,-0.037982793,4.03E-07
-21.5,-0.001780471,2.29E-06,-21.5,-0.003676498,3.43E-07,-21.5,-0.005569842,1.05E-06,-21.5,-0.007426826,1.40E-05,-21.5,-0.009314899,4.31E-07,-21.5,-0.011166601,6.75E-07,-21.5,-0.013049267,3.35E-07,-21.5,-0.014962746,5.48E-06,-21.5,-0.016772905,3.77E-07,-21.5,-0.01864742,3.54E-07,-21.5,-0.020519199,4.27E-07,-21.5,-0.02232156,4.11E-07,-21.5,-0.024121346,3.70E-07,-21.5,-0.026018355,3.44E-07,-21.5,-0.027879314,3.74E-07,-21.5,-0.02970437,6.51E-07,-21.5,-0.031559885,3.28E-07,-21.5,-0.033445712,3.46E-07,-21.5,-0.035229655,3.29E-07,-21.5,-0.037044048,3.68E-07
-21,-0.001709149,1.67E-06,-21,-0.003597614,3.25E-07,-21,-0.005417248,1.16E-06,-21,-0.007234196,2.14E-05,-21,-0.009081572,3.94E-07,-21,-0.010893296,7.26E-07,-21,-0.012702378,3.22E-07,-21,-0.014574456,4.86E-06,-21,-0.016345383,4.09E-07,-21,-0.018179204,3.20E-07,-21,-0.019977629,4.49E-07,-21,-0.021740757,5.27E-07,-21,-0.023533904,3.37E-07,-21,-0.025356927,4.10E-07,-21,-0.027177197,3.31E-07,-21,-0.028962281,6.45E-07,-21,-0.030777091,3.67E-07,-21,-0.032589142,3.36E-07,-21,-0.034366195,3.56E-07,-21,-0.036108298,3.63E-07
-20.5,-0.001671574,1.72E-06,-20.5,-0.003486077,3.29E-07,-20.5,-0.005281787,1.30E-06,-20.5,-0.007074829,3.04E-05,-20.5,-0.008849011,3.51E-07,-20.5,-0.010620618,6.83E-07,-20.5,-0.012389575,3.28E-07,-20.5,-0.014204015,4.09E-06,-20.5,-0.015951572,4.59E-07,-20.5,-0.01771252,3.38E-07,-20.5,-0.01947081,4.24E-07,-20.5,-0.021194544,1.00E-06,-20.5,-0.022915714,3.39E-07,-20.5,-0.024713843,3.83E-07,-20.5,-0.026509136,3.47E-07,-20.5,-0.028222364,5.27E-07,-20.5,-0.029996329,3.33E-07,-20.5,-0.031767528,3.51E-07,-20.5,-0.033472848,3.46E-07,-20.5,-0.0352071,4.31E-07
