mean_theta,mean_qz,mean_I,mean_theta,mean_qz,mean_I,mean_theta,mean_qz,mean_I,mean_theta,mean_qz,mean_I,mean_theta,mean_qz,mean_I,mean_theta,mean_qz,mean_I,mean_theta,mean_qz,mean_I,mean_theta,mean_qz,mean_I,mean_theta,mean_qz,mean_I,mean_theta,mean_qz,mean_I,mean_theta,mean_qz,mean_I,mean_theta,mean_qz,mean_I,mean_theta,mean_qz,mean_I,mean_theta,mean_qz,mean_I,mean_theta,mean_qz,mean_I,mean_theta,mean_qz,mean_I,mean_theta,mean_qz,mean_I,mean_theta,mean_qz,mean_I,mean_theta,mean_qz,mean_I,mean_theta,mean_qz,mean_I,mean_theta,mean_qz,mean_I,mean_theta,mean_qz,mean_I,mean_theta,mean_qz,mean_I,mean_theta,mean_qz,mean_I,mean_theta,mean_qz,mean_I,mean_theta,mean_qz,mean_I
-25,-0.004130473,0.000291741,-25,-0.006266773,3.58E-05,-25,-0.008400379,0.000798737,-25,-0.010493771,3.37E-05,-25,-0.01265919,6.48E-05,-25,-0.014747137,3.62E-05,-25,-0.016832426,7.51E-05,-25,-0.018952233,3.26E-05,-25,-0.021087804,3.29E-05,-25,-0.023146396,3.05E-05,-25,-0.025257797,3.61E-05,-25,-0.027348094,3.22E-05,-25,-0.029435479,3.41E-05,-25,-0.031538727,3.23E-05,-25,-0.033565302,3.14E-05,-25,-0.035663119,3.00E-05,-25,-0.037721114,2.89E-05,-25,-0.039850058,3.14E-05,-25,-0.041865919,3.40E-05,-25,-0.043989206,3.15E-05,-25,-0.045999698,2.97E-05,-25,-0.048044359,3.14E-05,-25,-0.050122437,3.34E-05,-25,-0.052161621,3.14E-05,-25,nan,nan,-25,nan,nan
-24.5,-0.004015154,0.000239649,-24.5,-0.006129265,3.20E-05,-24.5,-0.008203766,0.000641068,-24.5,-0.010257323,3.36E-05,-24.5,-0.012344884,4.16E-05,-24.5,-0.014429361,3.58E-05,-24.5,-0.016474856,7.51E-05,-24.5,-0.018517352,3.08E-05,-24.5,-0.02059386,3.38E-05,-24.5,-0.022630915,3.31E-05,-24.5,-0.024665579,3.74E-05,-24.5,-0.026733487,3.42E-05,-24.5,-0.028762698,3.06E-05,-24.5,-0.030825052,3.07E-05,-24.5,-0.032812693,3.32E-05,-24.5,-0.034833471,3.28E-05,-24.5,-0.03685185,3.20E-05,-24.5,-0.03893913,3.07E-05,-24.5,-0.040916068,3.04E-05,-24.5,-0.042962061,3.06E-05,-24.5,-0.044933405,3.18E-05,-24.5,-0.046938155,2.85E-05,-24.5,-0.048975577,3.32E-05,-24.5,-0.050974829,3.08E-05,-24.5,nan,nan,-24.5,nan,nan
-24,-0.003937099,0.000228411,-24,-0.005992005,4.09E-05,-24,-0.008008105,0.000502452,-24,-0.010021522,3.48E-05,-24,-0.012068265,3.46E-05,-24,-0.014076088,3.40E-05,-24,-0.016081507,5.43E-05,-24,-0.018102109,3.13E-05,-24,-0.020119619,3.78E-05,-24,-0.022099074,3.20E-05,-24,-0.024075534,3.36E-05,-24,-0.026102972,3.52E-05,-24,-0.028092119,2.81E-05,-24,-0.03011364,3.22E-05,-24,-0.032026518,3.47E-05,-24,-0.034007354,3.22E-05,-24,-0.035985532,3.27E-05,-24,-0.038031628,3.48E-05,-24,-0.039968854,3.31E-05,-24,-0.041974102,3.22E-05,-24,-0.043871227,3.38E-05,-24,-0.045835558,3.31E-05,-24,-0.047832521,2.89E-05,-24,-0.049773861,3.18E-05,-24,nan,nan,-24,nan,nan
-23.5,-0.00384107,0.000201278,-23.5,-0.005837356,3.69E-05,-23.5,-0.007813129,0.000416877,-23.5,-0.009786397,3.26E-05,-23.5,-0.01179206,3.84E-05,-23.5,-0.013759727,3.47E-05,-23.5,-0.015689807,5.43E-05,-23.5,-0.017669498,2.94E-05,-23.5,-0.019646722,4.31E-05,-23.5,-0.021568506,3.16E-05,-23.5,-0.023522837,2.99E-05,-23.5,-0.025474147,3.03E-05,-23.5,-0.027423034,3.50E-05,-23.5,-0.029403619,3.39E-05,-23.5,-0.031277657,3.12E-05,-23.5,-0.033218112,3.34E-05,-23.5,-0.03512156,3.28E-05,-23.5,-0.03712566,3.15E-05,-23.5,-0.039006451,3.11E-05,-23.5,-0.040953213,3.15E-05,-23.5,-0.042845916,3.07E-05,-23.5,-0.044735921,3.44E-05,-23.5,-0.046691663,2.95E-05,-23.5,-0.048576342,3.08E-05,-23.5,nan,nan,-23.5,nan,nan
-23,-0.003745466,0.000194781,-23,-0.005718286,3.89E-05,-23,-0.007619093,0.000277298,-23,-0.009551967,3.10E-05,-23,-0.011499389,5.95E-05,-23,-0.013409369,3.65E-05,-23,-0.015316965,6.29E-05,-23,-0.017255889,3.26E-05,-23,-0.01917521,5.48E-05,-23,-0.021057316,3.21E-05,-23,-0.022954158,3.57E-05,-23,-0.024848023,3.30E-05,-23,-0.026773551,3.69E-05,-23,-0.028696,3.31E-05,-23,-0.030514101,3.52E-05,-23,-0.03239722,3.08E-05,-23,-0.034294874,3.52E-05,-23,-0.036223297,3.30E-05,-23,-0.038047899,3.23E-05,-23,-0.039970786,3.40E-05,-23,-0.04180697,3.40E-05,-23,-0.043673869,3.03E-05,-23,-0.045555145,3.18E-05,-23,-0.047399917,2.95E-05,-23,nan,nan,-23,nan,nan
-22.5,-0.003667408,0.000135243,-22.5,-0.005564813,4.22E-05,-22.5,-0.007442824,0.000238249,-22.5,-0.00931825,3.14E-05,-22.5,-0.011207646,6.90E-05,-22.5,-0.013094543,3.53E-05,-22.5,-0.014945121,7.23E-05,-22.5,-0.016826651,3.50E-05,-22.5,-0.01870546,5.17E-05,-22.5,-0.020547785,3.00E-05,-22.5,-0.022387671,3.27E-05,-22.5,-0.024258369,3.12E-05,-22.5,-0.026126331,3.66E-05,-22.5,-0.027991555,3.17E-05,-22.5,-0.029770574,3.25E-05,-22.5,-0.031613834,3.11E-05,-22.5,-0.033437832,3.21E-05,-22.5,-0.035325347,3.15E-05,-22.5,-0.03712743,3.30E-05,-22.5,-0.038992712,3.52E-05,-22.5,-0.040772762,3.61E-05,-22.5,-0.042583385,3.17E-05,-22.5,-0.044424189,3.16E-05,-22.5,-0.046229443,2.90E-05,-22.5,nan,nan,-22.5,nan,nan
-22,-0.003555645,0.000147929,-22,-0.005429151,4.55E-05,-22,-0.00726686,0.000234188,-22,-0.009085286,3.14E-05,-22,-0.01093414,0.00011202,-22,-0.012763714,3.24E-05,-22,-0.014574197,0.000102457,-22,-0.01639844,3.16E-05,-22,-0.018236428,5.19E-05,-22,-0.020038859,3.50E-05,-22,-0.021838653,3.92E-05,-22,-0.023635838,3.27E-05,-22,-0.025462927,3.54E-05,-22,-0.027287308,3.24E-05,-22,-0.029011271,3.64E-05,-22,-0.030830402,3.08E-05,-22,-0.032614101,3.07E-05,-22,-0.034443944,3.27E-05,-22,-0.036206091,3.30E-05,-22,-0.038014282,2.95E-05,-22,-0.039755015,3.20E-05,-22,-0.041525613,3.16E-05,-22,-0.043325382,3.25E-05,-22,-0.04509059,3.06E-05,-22,nan,nan,-22,nan,nan
-21.5,-0.00347755,0.000144578,-21.5,-0.005293694,4.89E-05,-21.5,-0.007074616,0.000282056,-21.5,-0.00885308,3.12E-05,-21.5,-0.010660953,0.000136058,-21.5,-0.012434091,3.32E-05,-21.5,-0.01420445,0.000110886,-21.5,-0.015988248,3.36E-05,-21.5,-0.017769463,4.48E-05,-21.5,-0.019531689,3.12E-05,-21.5,-0.02127555,4.13E-05,-21.5,-0.023048441,3.30E-05,-21.5,-0.024818902,3.32E-05,-21.5,-0.026586371,3.32E-05,-21.5,-0.028271971,3.12E-05,-21.5,-0.030034205,3.23E-05,-21.5,-0.031762181,3.18E-05,-21.5,-0.033566687,3.12E-05,-21.5,-0.035273293,3.20E-05,-21.5,-0.037040679,3.36E-05,-21.5,-0.038742036,3.07E-05,-21.5,-0.040456823,3.10E-05,-21.5,-0.042215767,3.57E-05,-21.5,-0.04392522,3.09E-05,-21.5,nan,nan,-21.5,nan,nan
-21,-0.003383427,0.000127017,-21,-0.005142729,4.55E-05,-21,-0.006883517,0.000388061,-21,-0.008621662,3.30E-05,-21,-0.01038871,0.000168529,-21,-0.012121453,3.21E-05,-21,-0.013835866,9.60E-05,-21,-0.015579031,3.43E-05,-21,-0.017303858,3.39E-05,-21,-0.019025956,3.59E-05,-21,-0.020714111,3.72E-05,-21,-0.022446622,3.23E-05,-21,-0.02417632,3.52E-05,-21,-0.025887797,3.42E-05,-21,-0.027549886,3.05E-05,-21,-0.029256195,3.23E-05,-21,-0.030944096,3.27E-05,-21,-0.032691422,3.11E-05,-21,-0.034343117,3.16E-05,-21,-0.036069538,3.07E-05,-21,-0.037731415,3.23E-05,-21,-0.039406319,3.49E-05,-21,-0.041108978,3.23E-05,-21,-0.042778558,3.31E-05,-21,nan,nan,-21,nan,nan
-20.5,-0.003289856,0.000125887,-20.5,-0.005023781,4.63E-05,-20.5,-0.006724295,0.000579184,-20.5,-0.008406479,3.25E-05,-20.5,-0.010116859,0.000167166,-20.5,-0.011809162,3.27E-05,-20.5,-0.013468284,9.33E-05,-20.5,-0.01515529,3.58E-05,-20.5,-0.016854933,3.40E-05,-20.5,-0.018521307,3.28E-05,-20.5,-0.02016997,3.40E-05,-20.5,-0.021846337,3.01E-05,-20.5,-0.023535234,3.46E-05,-20.5,-0.025221405,3.23E-05,-20.5,-0.026829234,2.90E-05,-20.5,-0.028479802,3.11E-05,-20.5,-0.030127737,3.23E-05,-20.5,-0.031818285,3.20E-05,-20.5,-0.033445971,3.19E-05,-20.5,-0.035116009,2.90E-05,-20.5,-0.036723275,3.10E-05,-20.5,-0.038357966,3.49E-05,-20.5,-0.040020084,3.24E-05,-20.5,-0.041634498,3.14E-05,-20.5,-0.043261228,3.27E-05,-20.5,nan,nan
