mean_theta,mean_qz,mean_I,mean_theta,mean_qz,mean_I,mean_theta,mean_qz,mean_I,mean_theta,mean_qz,mean_I,mean_theta,mean_qz,mean_I,mean_theta,mean_qz,mean_I,mean_theta,mean_qz,mean_I,mean_theta,mean_qz,mean_I,mean_theta,mean_qz,mean_I,mean_theta,mean_qz,mean_I,mean_theta,mean_qz,mean_I,mean_theta,mean_qz,mean_I,mean_theta,mean_qz,mean_I,mean_theta,mean_qz,mean_I,mean_theta,mean_qz,mean_I,mean_theta,mean_qz,mean_I,mean_theta,mean_qz,mean_I,mean_theta,mean_qz,mean_I,mean_theta,mean_qz,mean_I,mean_theta,mean_qz,mean_I,mean_theta,mean_qz,mean_I,mean_theta,mean_qz,mean_I,mean_theta,mean_qz,mean_I,mean_theta,mean_qz,mean_I,mean_theta,mean_qz,mean_I,mean_theta,mean_qz,mean_I
-20,-0.003211631,0.000110718,-20,-0.004874237,5.07E-05,-20,-0.006534057,0.000770517,-20,-0.008176328,2.93E-05,-20,-0.009845888,0.000187667,-20,-0.011482833,3.30E-05,-20,-0.01311722,8.25E-05,-20,-0.014763677,3.31E-05,-20,-0.016407713,3.72E-05,-20,-0.018018994,3.30E-05,-20,-0.01962795,3.26E-05,-20,-0.021263775,3.33E-05,-20,-0.022897177,4.02E-05,-20,-0.024527629,3.00E-05,-20,-0.026096511,3.42E-05,-20,-0.027721681,3.16E-05,-20,-0.029314947,3.07E-05,-20,-0.030964209,3.04E-05,-20,-0.032537496,2.84E-05,-20,-0.034166628,3.17E-05,-20,-0.035720075,3.27E-05,-20,-0.037314604,3.27E-05,-20,-0.038935927,2.94E-05,-20,-0.040510535,3.16E-05,-20,-0.042111885,3.22E-05,-20,nan,nan
-19.5,-0.003118556,9.99E-05,-19.5,-0.004755268,4.46E-05,-19.5,-0.006345015,0.001007962,-19.5,-0.00796172,3.33E-05,-19.5,-0.009575647,0.00016069,-19.5,-0.011157646,4.02E-05,-19.5,-0.012751724,6.68E-05,-19.5,-0.01434303,3.23E-05,-19.5,-0.015946455,4.63E-05,-19.5,-0.017517861,2.96E-05,-19.5,-0.019086929,3.64E-05,-19.5,-0.020682125,3.44E-05,-19.5,-0.022274885,3.63E-05,-19.5,-0.023850252,3.24E-05,-19.5,-0.025365561,3.01E-05,-19.5,-0.026950121,3.25E-05,-19.5,-0.028503503,3.39E-05,-19.5,-0.030111401,3.38E-05,-19.5,-0.031630838,3.44E-05,-19.5,-0.033218987,3.00E-05,-19.5,-0.034747554,3.57E-05,-19.5,-0.036287551,3.40E-05,-19.5,-0.037853641,3.44E-05,-19.5,-0.039388368,3.18E-05,-19.5,-0.040949086,3.22E-05,-19.5,nan,nan
-19,-0.003025985,8.04E-05,-19,-0.004621577,5.69E-05,-19,-0.006185647,0.00134302,-19,-0.007732934,3.24E-05,-19,-0.009306025,0.000142257,-19,-0.010848096,3.62E-05,-19,-0.012387504,5.83E-05,-19,-0.013952686,3.33E-05,-19,-0.015501138,7.07E-05,-19,-0.017018357,3.12E-05,-19,-0.018547418,3.84E-05,-19,-0.020101864,3.41E-05,-19,-0.021639767,3.45E-05,-19,-0.023174764,3.43E-05,-19,-0.024665219,3.23E-05,-19,-0.026180956,3.17E-05,-19,-0.027694335,3.42E-05,-19,-0.029261006,3.19E-05,-19,-0.03074091,2.97E-05,-19,-0.032274261,3.28E-05,-19,-0.033749035,3.44E-05,-19,-0.035249306,3.30E-05,-19,-0.036774403,3.25E-05,-19,-0.03826939,2.93E-05,-19,-0.039789103,2.94E-05,-19,nan,nan
-18.5,-0.00294794,8.68E-05,-18.5,-0.004488275,4.20E-05,-18.5,-0.005997876,0.001642305,-18.5,-0.007505044,3.48E-05,-18.5,-0.009037269,0.000104506,-18.5,-0.010539205,4.04E-05,-18.5,-0.012038338,4.65E-05,-18.5,-0.013548921,3.48E-05,-18.5,-0.015056637,6.43E-05,-18.5,-0.016534325,3.47E-05,-18.5,-0.018023004,4.74E-05,-18.5,-0.019522829,3.31E-05,-18.5,-0.021006478,3.51E-05,-18.5,-0.022514705,3.35E-05,-18.5,-0.023938383,3.30E-05,-18.5,-0.025427682,3.10E-05,-18.5,-0.026887278,3.17E-05,-18.5,-0.028412101,3.39E-05,-18.5,-0.029852862,3.04E-05,-18.5,-0.031345094,3.22E-05,-18.5,-0.032780712,3.41E-05,-18.5,-0.034227088,3.10E-05,-18.5,-0.035711555,3.15E-05,-18.5,-0.037152705,3.58E-05,-18.5,-0.038631799,3.22E-05,-18.5,nan,nan
-18,-0.002856026,0.000100184,-18,-0.004355374,4.00E-05,-18,-0.005824728,0.002259015,-18,-0.007291638,3.27E-05,-18,-0.008769311,6.73E-05,-18,-0.010230999,3.79E-05,-18,-0.011676385,6.28E-05,-18,-0.013146356,3.23E-05,-18,-0.014613683,8.64E-05,-18,-0.016051265,3.44E-05,-18,-0.017486519,3.89E-05,-18,-0.018945716,3.27E-05,-18,-0.020389135,3.48E-05,-18,-0.021843024,3.03E-05,-18,-0.023241273,3.39E-05,-18,-0.024676642,3.14E-05,-18,-0.026096375,3.08E-05,-18,-0.02756621,3.17E-05,-18,-0.028967488,3.14E-05,-18,-0.030418966,3.17E-05,-18,-0.031801686,3.25E-05,-18,-0.033208437,3.08E-05,-18,-0.034651682,3.15E-05,-18,-0.036053196,3.01E-05,-18,-0.037477996,3.18E-05,-18,nan,nan
-17.5,-0.002778042,0.000106703,-17.5,-0.004222992,4.11E-05,-17.5,-0.005652074,0.002212715,-17.5,-0.007065233,3.54E-05,-17.5,-0.008502185,4.50E-05,-17.5,-0.009923337,3.53E-05,-17.5,-0.01132891,9.17E-05,-17.5,-0.012757944,3.15E-05,-17.5,-0.014171243,6.90E-05,-17.5,-0.015555826,3.45E-05,-17.5,-0.016964082,3.26E-05,-17.5,-0.018369565,3.00E-05,-17.5,-0.019772429,3.65E-05,-17.5,-0.021185623,3.38E-05,-17.5,-0.022531636,2.99E-05,-17.5,-0.023926692,2.94E-05,-17.5,-0.025306241,3.07E-05,-17.5,-0.02672178,3.05E-05,-17.5,-0.028083396,3.20E-05,-17.5,-0.029493571,3.36E-05,-17.5,-0.030837101,3.34E-05,-17.5,-0.03220366,2.97E-05,-17.5,-0.033593169,3.21E-05,-17.5,-0.034954566,3.02E-05,-17.5,-0.036338683,3.30E-05,-17.5,nan,nan
-17,-0.002686691,0.000109085,-17,-0.004090832,3.75E-05,-17,-0.005466515,0.002305611,-17,-0.0068526,3.32E-05,-17,-0.008248697,3.31E-05,-17,-0.00961676,3.93E-05,-17,-0.010969315,9.82E-05,-17,-0.012357707,3.31E-05,-17,-0.013730528,4.46E-05,-17,-0.015088249,3.61E-05,-17,-0.016430536,3.52E-05,-17,-0.01779575,2.97E-05,-17,-0.019158126,4.21E-05,-17,-0.02051808,3.09E-05,-17,-0.021824974,3.44E-05,-17,-0.023179719,3.28E-05,-17,-0.024519193,3.47E-05,-17,-0.025893591,3.17E-05,-17,-0.027202963,2.99E-05,-17,-0.028571907,3.05E-05,-17,-0.029863867,3.07E-05,-17,-0.031190328,3.16E-05,-17,-0.032539122,3.10E-05,-17,-0.03384801,3.10E-05,-17,-0.035203803,3.20E-05,-17,nan,nan
-16.5,-0.002608532,0.000161215,-16.5,-0.00395921,3.53E-05,-16.5,-0.005307164,0.002491699,-16.5,-0.006627753,3.58E-05,-16.5,-0.007982912,3.90E-05,-16.5,-0.009310778,3.54E-05,-16.5,-0.01062351,0.000130907,-16.5,-0.011958592,3.36E-05,-16.5,-0.013290892,3.62E-05,-16.5,-0.014596073,3.31E-05,-16.5,-0.015911047,4.28E-05,-16.5,-0.017223212,3.27E-05,-16.5,-0.018545237,4.13E-05,-16.5,-0.019864404,3.31E-05,-16.5,-0.021132439,3.11E-05,-16.5,-0.022446424,3.25E-05,-16.5,-0.023733729,3.48E-05,-16.5,-0.025066691,3.11E-05,-16.5,-0.026336726,3.22E-05,-16.5,-0.027652495,3.09E-05,-16.5,-0.028905175,2.97E-05,-16.5,-0.030191659,3.20E-05,-16.5,-0.031499282,3.18E-05,-16.5,-0.032768557,3.15E-05,-16.5,-0.034058922,2.81E-05,-16.5,nan,nan
-16,-0.002518037,0.000169359,-16,-0.00384016,3.32E-05,-16,-0.00512323,0.002434715,-16,-0.006415978,3.71E-05,-16,-0.007730072,6.77E-05,-16,-0.009005596,3.31E-05,-16,-0.010278405,0.000125973,-16,-0.0115728,3.39E-05,-16,-0.012864572,2.99E-05,-16,-0.014129647,3.32E-05,-16,-0.015392392,4.57E-05,-16,-0.016664253,3.22E-05,-16,-0.017945584,2.90E-05,-16,-0.019212231,3.16E-05,-16,-0.020441092,3.11E-05,-16,-0.021702619,3.11E-05,-16,-0.022950008,3.22E-05,-16,-0.024241549,3.30E-05,-16,-0.025472034,3.31E-05,-16,-0.026734841,3.22E-05,-16,-0.027960243,3.50E-05,-16,-0.029194774,3.01E-05,-16,-0.030449742,3.20E-05,-16,-0.031679111,3.08E-05,-16,-0.032940376,3.21E-05,-16,nan,nan
-15.5,-0.002439866,0.000218979,-15.5,-0.003709076,3.50E-05,-15.5,-0.00496384,0.002383957,-15.5,-0.006204465,3.46E-05,-15.5,-0.007465729,9.75E-05,-15.5,-0.008701235,3.30E-05,-15.5,-0.009934024,0.000120122,-15.5,-0.011187634,3.18E-05,-15.5,-0.012426848,3.81E-05,-15.5,-0.013652107,3.40E-05,-15.5,-0.014874628,4.59E-05,-15.5,-0.016106286,3.00E-05,-15.5,-0.017335154,3.48E-05,-15.5,-0.018573061,3.07E-05,-15.5,-0.019751004,3.24E-05,-15.5,-0.020972333,3.13E-05,-15.5,-0.022179486,3.04E-05,-15.5,-0.023418334,3.19E-05,-15.5,-0.024608973,3.32E-05,-15.5,-0.025831208,3.26E-05,-15.5,-0.027005474,2.91E-05,-15.5,-0.028199983,2.86E-05,-15.5,-0.029414194,3.20E-05,-15.5,-0.030603531,3.02E-05,-15.5,-0.03181247,3.39E-05,-15.5,nan,nan
-15,-0.002350124,0.000238077,-15,-0.003578466,3.30E-05,-15,-0.004781401,0.002036044,-15,-0.005993239,3.82E-05,-15,-0.007202332,0.000150203,-15,-0.008408989,3.38E-05,-15,-0.009590401,0.000100008,-15,-0.01080313,3.07E-05,-15,-0.012002032,6.77E-05,-15,-0.013175797,3.10E-05,-15,-0.014358401,4.51E-05,-15,-0.015549365,2.87E-05,-15,-0.016737926,3.90E-05,-15,-0.01792368,3.15E-05,-15,-0.019062844,3.49E-05,-15,-0.020243479,3.15E-05,-15,-0.021399711,3.19E-05,-15,-0.022608094,2.96E-05,-15,-0.023748229,3.22E-05,-15,-0.0249296,3.18E-05,-15,-0.026064498,2.75E-05,-15,-0.027218889,3.21E-05,-15,-0.028392208,3.27E-05,-15,-0.029530588,3.21E-05,-15,-0.03069865,3.07E-05,-15,nan,nan
-14.5,-0.002271969,0.000292769,-14.5,-0.003448274,3.32E-05,-14.5,-0.00462203,0.001927298,-14.5,-0.00578219,3.39E-05,-14.5,-0.006950813,0.000222173,-14.5,-0.008105867,3.05E-05,-14.5,-0.009247566,7.08E-05,-14.5,-0.010408485,3.11E-05,-14.5,-0.011566627,8.16E-05,-14.5,-0.012700762,3.05E-05,-14.5,-0.013842971,4.25E-05,-14.5,-0.014993537,3.46E-05,-14.5,-0.016130598,5.57E-05,-14.5,-0.017286658,3.23E-05,-14.5,-0.018375877,3.92E-05,-14.5,-0.01951612,3.43E-05,-14.5,-0.020632327,3.98E-05,-14.5,-0.021788577,3.33E-05,-14.5,-0.022889081,3.30E-05,-14.5,-0.024029479,3.30E-05,-14.5,-0.025124941,3.13E-05,-14.5,-0.026228611,3.12E-05,-14.5,-0.027360991,3.22E-05,-14.5,-0.028459543,3.43E-05,-14.5,-0.029586656,3.37E-05,-14.5,nan,nan
-14,-0.002183013,0.000358746,-14,-0.003329317,3.58E-05,-14,-0.00444115,0.001574468,-14,-0.005561155,3.59E-05,-14,-0.00669952,0.000237571,-14,-0.00781437,3.31E-05,-14,-0.008916024,4.06E-05,-14,-0.010025781,3.09E-05,-14,-0.011143241,8.64E-05,-14,-0.012237443,3.17E-05,-14,-0.013328957,4.04E-05,-14,-0.014438845,3.47E-05,-14,-0.015535608,5.97E-05,-14,-0.016640288,3.35E-05,-14,-0.017701031,3.55E-05,-14,-0.018790312,3.09E-05,-14,-0.019866607,3.73E-05,-14,-0.020981412,3.22E-05,-14,-0.022042373,3.20E-05,-14,-0.023131532,2.97E-05,-14,-0.024187466,3.21E-05,-14,-0.025251217,3.10E-05,-14,-0.026332448,2.89E-05,-14,-0.027401163,3.36E-05,-14,-0.028477166,3.30E-05,-14,nan,nan
-13.5,-0.002104899,0.000447864,-13.5,-0.003199753,3.96E-05,-13.5,-0.00428185,0.001095363,-13.5,-0.005351153,3.36E-05,-13.5,-0.006438335,0.000280051,-13.5,-0.007512671,3.96E-05,-13.5,-0.008574468,3.14E-05,-13.5,-0.009643727,3.33E-05,-13.5,-0.010720532,8.37E-05,-13.5,-0.011764629,3.32E-05,-13.5,-0.012826218,3.76E-05,-13.5,-0.01388534,3.25E-05,-13.5,-0.014941723,4.74E-05,-13.5,-0.016005631,3.91E-05,-13.5,-0.01701722,3.36E-05,-13.5,-0.018066124,3.12E-05,-13.5,-0.019102424,3.42E-05,-13.5,-0.0201757,2.80E-05,-13.5,-0.02118723,3.19E-05,-13.5,-0.02224542,3.18E-05,-13.5,-0.023251963,3.23E-05,-13.5,-0.024275714,3.02E-05,-13.5,-0.025316186,3.44E-05,-13.5,-0.026334824,3.27E-05,-13.5,-0.027379746,3.33E-05,-13.5,nan,nan
-13,-0.002016762,0.000473889,-13,-0.003070841,4.58E-05,-13,-0.00411241,0.000766358,-13,-0.005141627,3.10E-05,-13,-0.006187952,0.000269109,-13,-0.00721207,4.34E-05,-13,-0.008233786,5.24E-05,-13,-0.009272238,3.19E-05,-13,-0.010298406,6.29E-05,-13,-0.01130283,3.56E-05,-13,-0.012314273,4.42E-05,-13,-0.013332916,3.41E-05,-13,-0.014348849,3.58E-05,-13,-0.015371755,3.39E-05,-13,-0.016344545,3.30E-05,-13,-0.017352817,3.34E-05,-13,-0.018339562,3.44E-05,-13,-0.019371205,3.13E-05,-13,-0.020343432,3.19E-05,-13,-0.021360365,3.26E-05,-13,-0.022327595,3.13E-05,-13,-0.023301742,2.72E-05,-13,-0.02430152,3.24E-05,-13,-0.025279924,3.12E-05,-13,-0.026274483,3.14E-05,-13,-0.027229246,3.28E-05
-12.5,-0.001938714,0.000552231,-12.5,-0.002951785,4.61E-05,-12.5,-0.003943418,0.000399721,-12.5,-0.004932472,3.19E-05,-12.5,-0.005937859,0.000252409,-12.5,-0.006921804,4.34E-05,-12.5,-0.007903337,9.57E-05,-12.5,-0.008891532,3.19E-05,-12.5,-0.009877278,6.38E-05,-12.5,-0.01084179,3.22E-05,-12.5,-0.011813193,4.85E-05,-12.5,-0.012781926,3.21E-05,-12.5,-0.013766544,3.14E-05,-12.5,-0.01473943,3.09E-05,-12.5,-0.015673069,3.52E-05,-12.5,-0.016631805,3.02E-05,-12.5,-0.017587869,3.39E-05,-12.5,-0.018568742,3.44E-05,-12.5,-0.019501568,3.40E-05,-12.5,-0.020477197,3.04E-05,-12.5,-0.021396023,3.58E-05,-12.5,-0.022339515,2.90E-05,-12.5,-0.023298216,3.17E-05,-12.5,-0.024227655,3.36E-05,-12.5,-0.025181152,3.39E-05,-12.5,-0.026114406,3.11E-05
-12,-0.001860518,0.000613855,-12,-0.002823496,4.89E-05,-12,-0.003774893,0.000254496,-12,-0.004723707,3.21E-05,-12,-0.005688081,0.000270302,-12,-0.006631778,4.52E-05,-12,-0.007564103,0.000157104,-12,-0.008511682,3.50E-05,-12,-0.009456803,3.90E-05,-12,-0.010381457,3.92E-05,-12,-0.011303755,6.31E-05,-12,-0.012241094,3.10E-05,-12,-0.013175983,4.38E-05,-12,-0.014108149,3.10E-05,-12,-0.015002836,3.99E-05,-12,-0.01592119,3.24E-05,-12,-0.016837146,4.30E-05,-12,-0.017767789,3.07E-05,-12,-0.018661293,3.28E-05,-12,-0.019595393,3.13E-05,-12,-0.020475273,3.15E-05,-12,-0.021378376,2.57E-05,-12,-0.022287645,3.18E-05,-12,-0.023185633,3.23E-05,-12,-0.024089739,3.09E-05,-12,-0.024982612,2.95E-05
-11.5,-0.001773469,0.000733742,-11.5,-0.002704448,5.48E-05,-11.5,-0.003615512,0.000220678,-11.5,-0.004515351,3.43E-05,-11.5,-0.005438637,0.00018365,-11.5,-0.006333423,4.65E-05,-11.5,-0.007234396,0.000237019,-11.5,-0.00813272,3.27E-05,-11.5,-0.009037144,3.88E-05,-11.5,-0.00992187,3.59E-05,-11.5,-0.01080423,5.74E-05,-11.5,-0.011700865,3.35E-05,-11.5,-0.012586619,5.89E-05,-11.5,-0.013478097,3.20E-05,-11.5,-0.014333623,3.52E-05,-11.5,-0.015211665,3.17E-05,-11.5,-0.016078974,3.90E-05,-11.5,-0.016976856,3.21E-05,-11.5,-0.0178308,2.95E-05,-11.5,-0.018715169,3.31E-05,-11.5,-0.019555889,3.17E-05,-11.5,-0.020410476,3.35E-05,-11.5,-0.021287247,3.11E-05,-11.5,-0.022136763,3.22E-05,-11.5,-0.023008314,3.03E-05,-11.5,-0.023852756,2.78E-05
-11,-0.001695381,0.000867719,-11,-0.002576891,6.92E-05,-11,-0.003447575,0.000468248,-11,-0.004315674,3.17E-05,-11,-0.005189548,0.000130638,-11,-0.00604433,4.45E-05,-11,-0.006896723,0.000284971,-11,-0.007762834,3.27E-05,-11,-0.008618334,4.12E-05,-11,-0.009463064,3.62E-05,-11,-0.010305421,5.16E-05,-11,-0.011153222,3.14E-05,-11,-0.012006641,8.92E-05,-11,-0.012857339,3.51E-05,-11,-0.013665625,3.65E-05,-11,-0.014503289,3.07E-05,-11,-0.015330595,3.83E-05,-11,-0.016186939,3.17E-05,-11,-0.016993364,3.27E-05,-11,-0.017836596,3.41E-05,-11,-0.018638092,3.80E-05,-11,-0.019452689,3.41E-05,-11,-0.020288306,3.38E-05,-11,-0.021097825,3.19E-05,-11,-0.021920469,3.46E-05,-11,-0.022724931,2.91E-05
-10.5,-0.001617164,0.000973489,-10.5,-0.002457826,8.67E-05,-10.5,-0.003280147,0.001077729,-10.5,-0.004107799,3.14E-05,-10.5,-0.004940833,7.79E-05,-10.5,-0.005755547,3.85E-05,-10.5,-0.006567863,0.000260822,-10.5,-0.007385354,3.20E-05,-10.5,-0.008208157,6.37E-05,-10.5,-0.009005079,2.95E-05,-10.5,-0.009807367,4.45E-05,-10.5,-0.010614716,3.07E-05,-10.5,-0.011427289,8.38E-05,-10.5,-0.012229515,3.66E-05,-10.5,-0.012998897,3.11E-05,-10.5,-0.01379612,3.19E-05,-10.5,-0.01458324,3.00E-05,-10.5,-0.015398101,2.99E-05,-10.5,-0.016165101,3.40E-05,-10.5,-0.01696723,3.17E-05,-10.5,-0.017729294,3.50E-05,-10.5,-0.018503939,3.22E-05,-10.5,-0.019290779,3.22E-05,-10.5,-0.020060363,3.15E-05,-10.5,-0.020842044,3.33E-05,-10.5,-0.021606566,3.34E-05
-10,-0.001531267,0.000886306,-10,-0.00233104,9.60E-05,-10,-0.003120749,0.002143747,-10,-0.003900383,3.46E-05,-10,-0.004692514,5.34E-05,-10,-0.005467097,3.48E-05,-10,-0.006239274,0.000265622,-10,-0.007016241,2.99E-05,-10,-0.007790763,9.03E-05,-10,-0.008547951,2.95E-05,-10,-0.009310109,3.22E-05,-10,-0.010076946,3.14E-05,-10,-0.010841256,6.88E-05,-10,-0.011610317,3.86E-05,-10,-0.012340601,3.63E-05,-10,-0.01309741,3.30E-05,-10,-0.013837216,3.38E-05,-10,-0.014610405,3.32E-05,-10,-0.015338051,3.51E-05,-10,-0.01609179,3.50E-05,-10,-0.016814517,3.21E-05,-10,-0.017549045,3.51E-05,-10,-0.018295,3.19E-05,-10,-0.019024461,3.30E-05,-10,-0.019765251,3.53E-05,-10,-0.020489644,3.29E-05
-9.5,-0.001453196,0.001076173,-9.5,-0.002211996,0.000110578,-9.5,-0.00295399,0.003272287,-9.5,-0.003693441,3.72E-05,-9.5,-0.00444461,3.39E-05,-9.5,-0.005179003,3.36E-05,-9.5,-0.005903958,0.000184565,-9.5,-0.006640366,3.05E-05,-9.5,-0.007381298,8.06E-05,-9.5,-0.00809867,3.57E-05,-9.5,-0.008813688,3.50E-05,-9.5,-0.009539953,3.17E-05,-9.5,-0.01026377,4.20E-05,-9.5,-0.01099178,3.10E-05,-9.5,-0.011683056,3.56E-05,-9.5,-0.012392441,3.36E-05,-9.5,-0.013099241,4.81E-05,-9.5,-0.013823915,3.33E-05,-9.5,-0.014512152,3.21E-05,-9.5,-0.015224926,3.32E-05,-9.5,-0.015908238,3.28E-05,-9.5,-0.016602569,3.51E-05,-9.5,-0.017307558,3.22E-05,-9.5,-0.017990203,3.11E-05,-9.5,-0.018690044,3.64E-05,-9.5,-0.019374253,3.04E-05
-9,-0.001375014,0.001181802,-9,-0.002086025,0.000146553,-9,-0.002787781,0.005632542,-9,-0.003486993,3.90E-05,-9,-0.004197141,6.45E-05,-9,-0.00489129,2.98E-05,-9,-0.005576377,7.44E-05,-9,-0.006272148,3.03E-05,-9,-0.006965455,9.87E-05,-9,-0.00764298,3.45E-05,-9,-0.008324638,4.50E-05,-9,-0.009003782,3.09E-05,-9,-0.009686865,2.95E-05,-9,-0.010367485,3.14E-05,-9,-0.01101967,3.55E-05,-9,-0.011695271,3.31E-05,-9,-0.012355419,4.82E-05,-9,-0.013038694,3.39E-05,-9,-0.013687469,3.09E-05,-9,-0.014359226,3.18E-05,-9,-0.015003071,3.09E-05,-9,-0.015657152,3.15E-05,-9,-0.016314869,3.41E-05,-9,-0.016963897,2.86E-05,-9,-0.017622713,3.82E-05,-9,-0.018260484,3.04E-05
-8.5,-0.001290332,0.001311535,-8.5,-0.00196704,0.000145779,-8.5,-0.002628481,0.008307979,-8.5,-0.003287377,3.94E-05,-8.5,-0.003950127,0.000106554,-8.5,-0.004603977,3.65E-05,-8.5,-0.005249146,3.31E-05,-8.5,-0.005904225,2.86E-05,-8.5,-0.006556834,9.08E-05,-8.5,-0.007194436,3.80E-05,-8.5,-0.007829669,6.87E-05,-8.5,-0.008474604,3.26E-05,-8.5,-0.009117029,3.87E-05,-8.5,-0.009756888,3.21E-05,-8.5,-0.010363854,3.21E-05,-8.5,-0.01099876,3.33E-05,-8.5,-0.01161899,3.91E-05,-8.5,-0.01226079,3.31E-05,-8.5,-0.01287003,3.23E-05,-8.5,-0.013500694,3.20E-05,-8.5,-0.014099086,4.19E-05,-8.5,-0.014712868,3.20E-05,-8.5,-0.015329902,3.01E-05,-8.5,-0.015938626,2.85E-05,-8.5,-0.016550551,3.34E-05,-8.5,-0.017154215,3.25E-05
-8,-0.001212335,0.001370905,-8,-0.001847906,0.000168448,-8,-0.002463021,0.009856022,-8,-0.003081574,4.40E-05,-8,-0.003703588,0.000232424,-8,-0.00431709,4.27E-05,-8,-0.004922292,6.11E-05,-8,-0.00553663,3.15E-05,-8,-0.006148488,6.95E-05,-8,-0.00674033,4.13E-05,-8,-0.007341374,8.58E-05,-8,-0.007939816,2.94E-05,-8,-0.00854155,8.90E-05,-8,-0.00914063,3.20E-05,-8,-0.009708837,3.33E-05,-8,-0.010297317,3.38E-05,-8,-0.010883247,3.10E-05,-8,-0.011477907,3.39E-05,-8,-0.01204759,3.11E-05,-8,-0.012637136,3.19E-05,-8,-0.01320188,4.64E-05,-8,-0.013769791,3.37E-05,-8,-0.014346095,2.91E-05,-8,-0.014914469,3.29E-05,-8,-0.01548566,3.47E-05,-8,-0.016043566,3.01E-05
-7.5,-0.001134246,0.00147838,-7.5,-0.001723036,0.000152727,-7.5,-0.002303721,0.013141509,-7.5,-0.002881861,4.38E-05,-7.5,-0.003463066,0.000348587,-7.5,-0.004030651,5.18E-05,-7.5,-0.004595839,0.00026152,-7.5,-0.005169389,3.18E-05,-7.5,-0.005740452,5.53E-05,-7.5,-0.006292666,3.37E-05,-7.5,-0.006847904,9.25E-05,-7.5,-0.00741133,2.97E-05,-7.5,-0.007966908,0.000107196,-7.5,-0.00852523,3.71E-05,-7.5,-0.009054562,3.50E-05,-7.5,-0.009602678,3.32E-05,-7.5,-0.010148193,3.48E-05,-7.5,-0.010701689,3.04E-05,-7.5,-0.011231748,3.32E-05,-7.5,-0.011780108,3.25E-05,-7.5,-0.012300087,4.22E-05,-7.5,-0.012827997,3.22E-05,-7.5,-0.013368615,3.08E-05,-7.5,-0.013891507,2.99E-05,-7.5,-0.01442192,3.50E-05,-7.5,-0.014939817,3.04E-05
-7,-0.001056071,0.001692498,-7,-0.001604019,0.000189547,-7,-0.002139065,0.01869588,-7,-0.002676771,6.60E-05,-7,-0.003217147,0.000436434,-7,-0.003749792,6.17E-05,-7,-0.004269814,0.000534964,-7,-0.004802532,3.36E-05,-7,-0.005332741,6.39E-05,-7,-0.0058453,3.53E-05,-7,-0.006360415,7.10E-05,-7,-0.006878092,2.86E-05,-7,-0.00739812,0.000113428,-7,-0.007910736,3.87E-05,-7,-0.008406082,4.24E-05,-7,-0.008913731,3.18E-05,-7,-0.00941394,4.24E-05,-7,-0.009926212,3.00E-05,-7,-0.010416606,3.05E-05,-7,-0.010923738,3.13E-05,-7,-0.011404437,3.27E-05,-7,-0.011892282,2.99E-05,-7,-0.012386974,3.10E-05,-7,-0.01286982,3.14E-05,-7,-0.013359416,3.55E-05,-7,-0.013837264,3.21E-05
-6.5,-0.000977815,0.001835828,-6.5,-0.001484879,0.00021179,-6.5,-0.001979816,0.023311325,-6.5,-0.002477024,7.92E-05,-6.5,-0.002971761,0.000687044,-6.5,-0.003463928,9.40E-05,-6.5,-0.003948938,0.000991277,-6.5,-0.004436088,3.42E-05,-6.5,-0.004925431,6.53E-05,-6.5,-0.005398268,3.85E-05,-6.5,-0.005873349,4.62E-05,-6.5,-0.006350463,2.96E-05,-6.5,-0.006825099,8.27E-05,-6.5,-0.007301724,3.69E-05,-6.5,-0.007753237,4.34E-05,-6.5,-0.008220406,3.10E-05,-6.5,-0.008680527,5.91E-05,-6.5,-0.009151536,3.41E-05,-6.5,-0.009602228,3.35E-05,-6.5,-0.010068093,3.40E-05,-6.5,-0.010509477,3.24E-05,-6.5,-0.010957219,3.24E-05,-6.5,-0.011411034,2.85E-05,-6.5,-0.011853775,3.13E-05,-6.5,-0.012302492,3.07E-05,-6.5,-0.012740231,3.12E-05
-6,-0.000895033,0.001645981,-6,-0.001361201,0.00027043,-6,-0.001820418,0.028292032,-6,-0.00227271,7.57E-05,-6,-0.002731284,0.000813813,-6,-0.003178579,0.000100919,-6,-0.003623405,0.001653329,-6,-0.004070087,3.50E-05,-6,-0.004518455,0.00011265,-6,-0.004951605,4.35E-05,-6,-0.005386483,3.78E-05,-6,-0.005823131,2.92E-05,-6,-0.006257196,4.83E-05,-6,-0.006688798,3.31E-05,-6,-0.007105475,3.70E-05,-6,-0.007527953,2.84E-05,-6,-0.007948012,4.05E-05,-6,-0.008381702,3.23E-05,-6,-0.008788679,3.44E-05,-6,-0.009213179,3.41E-05,-6,-0.009615276,4.43E-05,-6,-0.010022818,3.47E-05,-6,-0.010435771,3.20E-05,-6,-0.010838324,3.23E-05,-6,-0.01124613,3.20E-05,-6,-0.011639876,3.12E-05
